,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
167,668,668,167,Singapore,1,0,1,1,0,2,21,49,208,278,3,229,"1,853",154,"2,518",animal,SGP
168,672,672,168,Sri Lanka,18,0,18,9,0,27,88,134,155,377,2,177,"2,044",165,"2,783",animal,LKA
169,676,676,169,Thailand,2,0,2,5,0,7,58,122,341,521,2,366,"3,974",528,"5,393",animal,THA
170,680,680,170,Timor-Leste,0,0,0,0,0,0,8,16,20,44,0,36,"1,393",59,"1,532",animal,TLS
171,684,684,171,Viet Nam,1,0,1,9,0,10,74,151,280,505,2,253,"3,392",640,"4,793",animal,VNM
172,688,688,172,Angola,0,0,0,0,0,0,16,44,78,138,0,66,"2,655",228,"3,087",animal,AGO
173,692,692,173,Benin,0,0,0,0,0,0,15,26,51,92,0,48,"1,748",107,"1,995",animal,BEN
174,696,696,174,Botswana,0,0,0,0,0,0,4,11,17,32,0,27,"1,111",9,"1,179",animal,BWA
175,700,700,175,Burkina Faso,0,1,1,0,0,1,7,11,12,30,0,18,817,9,875,animal,BFA
176,704,704,176,Burundi,0,0,0,0,0,0,6,19,32,57,0,38,"1,072",36,"1,203",animal,BDI
177,708,708,177,Cabo Verde,1,0,1,0,0,1,9,22,39,70,0,30,905,95,"1,101",animal,CPV
178,712,712,178,Cameroon,0,0,0,6,0,6,67,117,118,302,0,78,"2,704",209,"3,293",animal,CMR
179,716,716,179,Central African Republic,0,0,0,0,0,0,9,13,24,46,0,27,"1,408",50,"1,531",animal,CAF
180,720,720,180,Chad,0,1,1,1,0,2,11,11,23,45,0,20,860,13,939,animal,TCD
181,724,724,181,Comoros,0,0,0,1,0,1,7,29,87,123,0,112,"1,344",77,"1,656",animal,COM
182,728,728,182,Congo,0,0,0,0,0,0,10,25,67,102,0,50,"2,038",142,"2,332",animal,COG
183,732,732,183,"Congo, The Democratic Republic of the",0,0,0,4,0,4,31,84,152,267,0,98,"3,700",423,"4,488",animal,COD
184,736,736,184,Côte d'Ivoire,0,0,0,2,0,2,19,49,84,152,0,80,"2,075",138,"2,445",animal,CIV
185,740,740,185,Djibouti,0,0,0,0,0,0,11,18,86,115,0,119,"1,463",112,"1,809",animal,DJI
186,744,744,186,Equatorial Guinea,0,0,0,0,0,0,16,35,57,108,0,42,"1,593",113,"1,856",animal,GNQ
187,748,748,187,Eritrea,0,0,0,0,0,0,16,27,104,147,0,134,"1,607",118,"2,006",animal,ERI
188,752,752,188,Eswatini,0,0,0,0,0,0,4,10,17,31,0,20,883,6,940,animal,SWZ
189,756,756,189,Ethiopia,0,0,0,2,0,2,17,41,60,118,0,44,"1,402",63,"1,627",animal,ETH
190,760,760,190,Gabon,0,0,0,0,0,0,12,37,69,118,0,50,"2,078",165,"2,411",animal,GAB
